Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Full Description,Description,Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Company Type,Investor Type,Investment Stage,Categories,Funding Status,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Investors,Acquisition Status,Number of Exits (IPO),Number of Portfolio Organizations,CB Rank (Investor),Trend Score (90 Days)
Epilepsy,https://www.crunchbase.com/organization/epilepsy,2,,,"The Epilepsy Foundation, a national non-profit with 47 affiliated organizations throughout the United States, has led the fight against seizures since 1968. The Foundation is an unwavering ally for individuals and families impacted by epilepsy and seizures. The Foundation works to prevent, control and cure epilepsy through community services; public education; federal and local advocacy; and supporting research into new treatments and therapies. The Foundation works to ensure that people with seizures have the opportunity to live their lives to their fullest potential","The Epilepsy Foundation, a national non-profit with 47 affiliated organizations throughout the United States, has led the fight against",$10M to $50M,Active,,,,,For Profit,,,"Association, Communities, Education, Government, Health Care, Non Profit",,,,,,,,,,,,,,,,,2,"7,716",7.1
Velos Partners,https://www.crunchbase.com/organization/velos-partners,25,2,"Los Angeles, California, United States","Velos Partners invests in companies at the intersection of consumer and technology, where the exponential pace of innovation is transforming traditional consumer behavior and business models.","Velos Partners is a consumer growth capital firm investing in retail innovation, health & wellness, and luxury & entertainment.",,Active,,,5/1/2013,day,,Venture Capital,"Early Stage Venture, Private Equity","Health Care, Retail Technology",,,,,,,,,,,,,,,,2,18,"7,730",2.3
Chemical Bank,https://www.crunchbase.com/organization/chemical-bank,,,"Midland, Michigan, United States",Chemical Bank is a community bank that has served Michigan for over 95 years. Member FDIC. Equal Housing Lender.,Chemical Bank is a community bank that has served Michigan for over 95 years. Member FDIC. Equal Housing Lender.,,Active,8/12/1988,day,1/1/1917,year,,Investment Bank,,"Banking, Health Care, Wealth Management",IPO,,,,,,,,,,,,,,Made Acquisitions,,,"7,740",0.9
Spectrum Health,https://www.crunchbase.com/organization/spectrum-health,1,,"Grand Rapids, Michigan, United States","Spectrum Health is a not-for-profit system of care dedicated to improving the health of families and individuals. With corporate offices located in Grand Rapids, Michigan, and a footprint that covers the entire state, Spectrum Health provides high quality, high value care to millions of individuals. Our organization includes a medical center, regional community hospitals, a dedicated children's hospital, a multispecialty medical group, affiliated physicians and a nationally recognized health plan, Priority Health.",Spectrum Health is a not-for-profit system of care dedicated to improving the health of families and individuals.,,Active,,,1882-01-01,year,,,,"Association, Health Care, Non Profit",,,,,,,,,,,,,,,Made Acquisitions,,1,"7,820",-0.2
Biotechnology Value Fund,https://www.crunchbase.com/organization/biotechnology-value-fund,29,17,"San Francisco, California, United States","Biotechnology Value Fund is a San Francisco-based private investment partnership specializing in fundamentally-driven public biotechnology investments. Since its inception in 1993, BVF has strived to build concentrated, long-term investments in small-cap biotechnology companies while performing rigorous diligence and on-going monitoring of its investments. BVF is committed to working with its portfolio companies as partners in their successes.","Biotechnology Value Fund, L.P. is an evergreen fund specializing in early stage financing. It focuses on undervalued investment",,Active,,,1/1/1993,year,,Venture Capital,Early Stage Venture,"Biotechnology, Venture Capital",,,,,,,,,,,,,,,,17,25,"7,844",-1.9
Council Capital,https://www.crunchbase.com/organization/council-capital,12,4,"Nashville, Tennessee, United States",Council Capital is a private equity firm with approximately $150 million of capital under management. They invest primarily in early-growth and growth stage companies in healthcare services and healthcare IT that emphasize innovative ways to raise quality and lower costs.,Private equity for healthcare services and healthcare IT that emphasize innovative ways to raise quality and lower costs.,,Active,,,1/1/2000,year,,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity","Finance, Health Care, Venture Capital",,,,,,,,,,,,,,,,4,9,"7,845",5.8
MedImmune,https://www.crunchbase.com/organization/medimmune,3,,"Maryland, Louisiana, United States","MedImmune develops medicines for unmet medical needs worldwide. As the global biologics research and development arm of AstraZeneca, MedImmune is pioneering innovative research and exploring novel pathways across key therapeutic including respiratory, inflammation, and autoimmunity; cardiovascular and metabolic disease; oncology; neuroscience; and infection and vaccines. Since its founding in 1988, MedImmune has remained committed to scientific innovation and medical progress, continually looking beyond standard expectations and pushing the boundaries of what is possible. ",MedImmune develops medicines for unmet medical needs worldwide.,,Active,,,1/1/1987,year,,,,"Biotechnology, Pharmaceutical, Therapeutics",,,,,,,,,,,,,,,Made Acquisitions,,3,"7,852",0.8
Bayer HealthCare,https://www.crunchbase.com/organization/bayer,,,"Leverkusen, Nordrhein-Westfalen, Germany","Bayer is a global enterprise with core competencies in the fields of health care, nutrition and high-tech materials. Read more about: Bayer Group, Bayer sites, research, products, sustainability","Bayer is a global enterprise with core competencies in the fields of health care, nutrition and high-tech materials.",,Active,,,12/29/2006,day,For Profit,,,"Biotechnology, Diabetes, Health Care",,,,,,,,,,,,,,,Made Acquisitions,,,"7,858",-0.3
VantagePoint Capital Partners,https://www.crunchbase.com/organization/vantagepoint-capital-partners,262,83,"San Bruno, California, United States","VantagePoint Capital Partners (formerly VantagePoint Venture Partners, until 2011) has more than $4.5 billion in capital under management and invests in the cleantech, healthcare, and IT sectors.","VantagePoint Capital Partners (formerly VantagePoint Venture Partners, until 2011) has more than $4.5 billion in capital under management",,Active,,,1/1/1996,year,,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed","Energy, Health Care, Information Technology",,,,,,,,,,,,,,,,83,155,"7,870",0
Global Sports Venture Studio,https://www.crunchbase.com/organization/global-sports-venture-studio,16,,"New York, New York, United States","GSVS accepts applications year round! The LA Dodgers are leading innovation in the sports industry through the launch of a global sports innovation platform designed to enable and support strategic collaborations between forward-thinking organizations and emerging startups. Building on the success of previous Dodgers Accelerator programs with R/GA, the Global Sports Venture Studio will significantly evolve the program model to approach innovation as a team sport. The Studio invites participation from Partners across the sports, technology, and entertainment spectrum including teams, leagues, player associations, media/broadcasters, sports apparel companies, retailers, industry vendors, esports organizations, sports betting and fantasy sports platforms, among others. Designed to be an ongoing initiative, the Global Sports Venture Studio will lay the groundwork for efficient, risk-controlled innovation through analysis, diligence, and business/creative strategy combined with startup sourcing, engagement opportunities, and investment. Startups will be selected to align with Partners' strategic objectives.",The GSVS with the LA Dodgers and R/GA brings together industry leaders and emerging players to shape the future of the industry.,,Active,,,4/15/2015,day,,"Accelerator, Entrepreneurship Program, Venture Capital","Early Stage Venture, Late Stage Venture","Digital Entertainment, Health Care, Sports",,,,,,,,,,,,,,,,,15,"7,882",-0.1
CSL,https://www.crunchbase.com/organization/csl,2,,"Parkville, New South Wales, Australia","CSL Limited is a public company which is a parent company of the CSL Group. CSL business activities operate in the  Human Health, JRH Biosciences, Animal Health and ZLB Plasma Services operations.  CSL limited develops, manufactures and markets pharmaceutical products of biological origin. The company' s business is: - Health care; - Life-saving products derived from human plasma; - Pharmaceuticals and diagnostics essential to health; - Cell culture reagents for the pharmaceutical industry; - Veterinary vaccines and diagnostics to protect livestock and companion animals.",CSL is a biotherapeutics company develops and delivers innovative biotherapies.,,Active,4/1/1999,day,1/1/1916,day,,,,"Biotechnology, Health Care, Health Diagnostics, Medical",M&A,,,,,,,,,,,,,,"Made Acquisitions, Was Acquired",,2,"7,898",3.3
